,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,Unnamed: 10,RainStatus,SnowStatus,weatherType,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
65,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/7/14,7.83,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",4,",,W,",,,37,",,W",26,",,W",,,60,",,W",50,",,W",16.1,",,W",21.9,",,W",,,,,,,,,1,",,W"
66,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/8/14,5.82,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",3,",,W,",,,57,",,W",35,",,W",,,290,",,W",290,",,W",17,",,W",27.1,",,W",,,,,,,,,,
67,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/9/14,6.26,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",2,",,W,",,,44,",,W",36,",,W",,,320,",,W",310,",,W",15,",,W",21.9,",,W",,,,,,,,,,
68,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/10/14,5.37,",,W",,,,0,0,0,0,"T,,W,2400",0,"T,,W,",1,",,W,",,,51,",,W",36,",,W",,,260,",,W",250,",,W",15,",,W",28,",,W",,,,,,,,,1,",,W"
69,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/11/14,4.7,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,66,",,W",45,",,W",,,250,",,W",250,",,W",13,",,W",21.9,",,W",,,,,,,,,,
70,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/12/14,5.37,",,W",,,,1,0,0,0.35,",,W,2400",0,",,W,",0,",,W,",,,56,",,W",32,",,W",,,310,",,W",320,",,W",19.9,",,W",35.1,",,W",,,,,,,,,,
71,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/13/14,14.09,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,32,",,W",18,",,W",,,310,",,W",320,",,W",23,",,W",40,",,W",,,,,,,,,,
72,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/14/14,5.59,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,46,",,W",22,",,W",,,260,",,W",250,",,W",14.1,",,W",23,",,W",,,,,,,,,,
73,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/15/14,8.95,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,58,",,W",42,",,W",,,290,",,W",300,",,W",21,",,W",33.1,",,W",,,,,,,,,,
74,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/16/14,7.61,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,42,",,W",30,",,W",,,310,",,W",310,",,W",16.1,",,W",28,",,W",,,,,,,,,,
